use_case_id,use_case_name,phase_number,phase_name,timeline,key_activities,primary_pattern_id,pattern_phase_activities,2025_phase_considerations
11,Fincrime,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-009,"Detection accuracy testing. False positive tuning. Explainability validation. Regulatory compliance testing.","2025 REGULATORY: Test detection rates. Tune alert thresholds. Validate explainability output. Test regulatory compliance."
11,Fincrime,3,Deployment,Months 5-6,Rollout | Training | Support,PT-009,"Production fincrime AI. Analyst training. Investigation integration. Ongoing model monitoring.","2025 REGULATORY: Deploy to fincrime ops. Train investigators. Integrate case management. Setup regulatory monitoring."
12,QA/QC,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-014,"Batch prediction infrastructure. Test automation platform. Quality monitoring. Anomaly detection.","2025: Deploy batch prediction. Configure test automation. Setup quality dashboards. Integrate anomaly detection."
12,QA/QC,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-014,"Test coverage validation. Defect prediction accuracy. Anomaly detection tuning. Report generation testing.","2025: Validate test coverage. Test defect predictions. Tune anomaly thresholds. Test report quality."
12,QA/QC,3,Deployment,Months 5-6,Rollout | Training | Support,PT-014,"Production QA AI. QA team training. Process integration. Ongoing quality monitoring.","2025: Deploy QA automation. Train QA engineers. Integrate with test pipelines. Setup quality monitoring."
13,Fraud Ops,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-009,"Real-time fraud detection. Behavioral biometrics. Graph analytics. Investigation workbench.","2025: Deploy <100ms detection. Configure behavioral analysis. Setup graph analytics. Build investigator workbench."
13,Fraud Ops,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-009,"Detection latency testing. False positive tuning. Graph analysis validation. Workbench usability testing.","2025: Validate <100ms latency. Tune detection thresholds. Test network detection. UAT with investigators."
13,Fraud Ops,3,Deployment,Months 5-6,Rollout | Training | Support,PT-009,"Production fraud AI. Investigator training. Process integration. Ongoing model monitoring.","2025: Deploy fraud detection. Train fraud investigators. Integrate case workflow. Setup continuous monitoring."
14,Onboarding,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-011,"IDP with liveness detection. Biometric authentication. Risk scoring. AML screening integration.","2025 REGULATORY: Deploy IDP with liveness. Configure biometrics. MANDATORY setup XAI. Integrate AML screening."
14,Onboarding,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-011,"Identity verification accuracy. Liveness detection testing. Risk scoring validation. KYC explainability testing.","2025 REGULATORY: Test ID verification accuracy. Validate liveness detection. Test risk scoring. Validate KYC explanations."
14,Onboarding,3,Deployment,Months 5-6,Rollout | Training | Support,PT-011,"Production onboarding AI. Staff training. Customer journey integration. Ongoing monitoring.","2025 REGULATORY: Deploy digital onboarding. Train operations staff. Integrate customer journey. Setup compliance monitoring."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-004,"Risk model infrastructure. Explainability framework. Scenario analysis. Regulatory reporting.","2025 REGULATORY: Deploy risk models. MANDATORY configure XAI. Setup scenario analysis. Integrate regulatory reporting."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",2,Testing,Months 3-4,Testing | UAT | Refinement,PT-004,"Risk calculation validation. Explainability testing. Scenario analysis testing. Regulatory compliance testing.","2025 REGULATORY: Validate risk calculations. Test explainability. Test scenario analysis. Validate regulatory compliance."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",3,Deployment,Months 5-6,Rollout | Training | Support,PT-004,"Production risk AI. Risk team training. Process integration. Ongoing model monitoring.","2025 REGULATORY: Deploy risk platform. Train risk analysts. Integrate risk processes. Setup regulatory monitoring."
16,IT Ops - IT Operations  -,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-007,"AIOps platform. Log analytics. Anomaly detection. Auto-remediation.","2025: Deploy AIOps platform. Configure log analytics. Setup anomaly detection. Configure self-healing."
16,IT Ops - IT Operations  -,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-007,"Anomaly detection validation. Root cause analysis testing. Auto-remediation testing. Observability testing.","2025: Test anomaly detection. Validate root cause analysis. Test auto-remediation workflows. Validate observability."
16,IT Ops - IT Operations  -,3,Deployment,Months 5-6,Rollout | Training | Support,PT-007,"Production AIOps. IT ops training. Process integration. Ongoing infrastructure monitoring.","2025: Deploy AIOps to production. Train IT operations. Integrate ITSM. Setup infrastructure monitoring."
17,FrontLine - CIB,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-005,"RAG for market intelligence. Feature Store for CIB. Pitch generation. Deal analytics.","2025: Deploy Self-Reflective RAG. Configure Feature Store. Setup pitch generation. Integrate deal analytics."
17,FrontLine - CIB,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-005,"Market intelligence accuracy. Feature retrieval testing. Pitch quality validation. Deal analytics testing.","2025: Test RAG accuracy. Validate feature retrieval. Test pitch quality. Validate deal analytics."
17,FrontLine - CIB,3,Deployment,Months 5-6,Rollout | Training | Support,PT-005,"Production CIB AI. Banker training. Client engagement integration. Ongoing intelligence updates.","2025: Deploy CIB platform. Train CIB bankers. Integrate client workflow. Setup intelligence refresh."
18,Procurement,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-008,"Multi-Agent Orchestration. IDP for contracts. Vendor matching. Spend analytics.","2025: Deploy Multi-Agent platform. Configure contract IDP. Setup vendor AI. Integrate spend analytics."
18,Procurement,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-008,"Agent coordination testing. Contract analysis accuracy. Vendor matching validation. Spend analysis testing.","2025: Test agent coordination. Validate contract extraction. Test vendor recommendations. Validate spend insights."
18,Procurement,3,Deployment,Months 5-6,Rollout | Training | Support,PT-008,"Production procurement AI. Procurement team training. Process integration. Ongoing optimization.","2025: Deploy Multi-Agent procurement. Train procurement team. Integrate procurement process. Setup optimization."
19,Payment disputes,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-007,"Agentic AI dispute workflow. IDP for evidence. Classification models. Response generation.","2025: Deploy Agentic AI. Configure evidence IDP. Setup classification. Integrate response generation."
19,Payment disputes,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-007,"Dispute classification testing. Evidence analysis accuracy. Outcome prediction testing. Response quality testing.","2025: Test classification accuracy. Validate evidence analysis. Test outcome predictions. Test response quality."
19,Payment disputes,3,Deployment,Months 5-6,Rollout | Training | Support,PT-007,"Production disputes AI. Disputes team training. Process integration. Ongoing monitoring.","2025: Deploy dispute AI. Train disputes team. Integrate dispute workflow. Setup performance monitoring."
20,Controls testing - IT and business,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-007,"Agentic AI test execution. Batch prediction. Evidence collection. GRC integration.","2025: Deploy Agentic AI testing. Configure batch prediction. Setup evidence automation. Integrate GRC."
20,Controls testing - IT and business,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-007,"Test execution validation. Evidence completeness testing. Finding accuracy testing. GRC integration testing.","2025: Validate test execution. Test evidence collection. Validate finding documentation. Test GRC integration."
20,Controls testing - IT and business,3,Deployment,Months 5-6,Rollout | Training | Support,PT-007,"Production controls AI. Audit team training. Process integration. Ongoing audit support.","2025: Deploy controls testing AI. Train audit team. Integrate audit process. Setup audit support."
21,Wholesale underwriting transformation - CIB,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-011,"IDP for financial documents. Credit scoring ML. Explainability framework. Deal modeling.","2025 REGULATORY: Deploy financial IDP. Configure credit scoring. MANDATORY setup XAI. Integrate deal modeling."
21,Wholesale underwriting transformation - CIB,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-011,"Financial extraction accuracy. Credit scoring validation. Explainability testing. Deal modeling testing.","2025 REGULATORY: Test extraction accuracy. Validate credit scores. Test explainability. Test deal scenarios."
21,Wholesale underwriting transformation - CIB,3,Deployment,Months 5-6,Rollout | Training | Support,PT-011,"Production underwriting AI. Underwriter training. Credit committee integration. Ongoing monitoring.","2025 REGULATORY: Deploy underwriting platform. Train underwriters. Integrate credit committee. Setup governance."
22,Learning content prouction,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-007,"Content generation AI. Multi-model routing. Adaptive learning. Translation services.","2025: Deploy content generation. Configure multi-model routing. Setup adaptive learning. Integrate translation."
22,Learning content prouction,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-007,"Content quality testing. Multi-model routing testing. Assessment validity testing. Translation accuracy testing.","2025: Test content quality. Validate model routing. Test assessment validity. Test translation accuracy."
22,Learning content prouction,3,Deployment,Months 5-6,Rollout | Training | Support,PT-007,"Production learning AI. L&D team training. LMS integration. Ongoing content improvement.","2025: Deploy learning content AI. Train L&D team. Integrate LMS. Setup content feedback loop."
23,Collection Management,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-009,"Real-time payment prediction. Feature Store. Communication personalization. Strategy optimization.","2025: Deploy payment prediction. Configure Feature Store. Setup communication AI. Integrate strategy engine."
23,Collection Management,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-009,"Payment prediction accuracy. Feature retrieval testing. Communication testing. Strategy optimization testing.","2025: Test prediction accuracy. Validate feature retrieval. Test communication quality. Test strategy optimization."
23,Collection Management,3,Deployment,Months 5-6,Rollout | Training | Support,PT-009,"Production collections AI. Collections team training. Process integration. Ongoing optimization.","2025: Deploy collections AI. Train collectors. Integrate collection process. Setup strategy optimization."
24,Front-end app personalisation,1,Setup & Development,Months 1-2,Infrastructure | Development | Integration,PT-006,"Multi-Model Routing. Feature Store dual-store. A/B testing. Mobile SDK integration.","2025: Deploy Multi-Model Router. Configure Feature Store (<10ms). Setup Champion/Challenger. Integrate mobile SDK."
24,Front-end app personalisation,2,Testing,Months 3-4,Testing | UAT | Refinement,PT-006,"Real-time latency testing. A/B testing validation. Feature retrieval testing. Mobile performance testing.","2025: Validate <10ms feature retrieval. Test A/B framework. Test real-time personalization. Mobile performance testing."
24,Front-end app personalisation,3,Deployment,Months 5-6,Rollout | Training | Support,PT-006,"Production app personalization. Product team training. Customer rollout. Ongoing optimization.","2025: Deploy mobile personalization. Train product teams. Phased customer rollout. Setup continuous optimization."
