"ABB ID","ABB Name","Description","Use Case Count","Use Cases","Pattern Count","Patterns","L0 Capabilities","L1 Capabilities"
"AB-043","Data Product Catalog","Catalog of data products","0","","1","PT-012","Foundations","Data & Knowledge"
"AB-044","Domain Data Platform","Self-serve domain data platform","0","","1","PT-012","Foundations","Data & Knowledge"
"AB-045","Data Contract Registry","Registry for data contracts","0","","1","PT-012","Foundations","Data & Knowledge"
"AB-046","Fairness Monitoring Engine","Monitors and reports on model fairness","1","UC-006","1","PT-004","Enabling","Transformation & Governance"
"AB-047","Online Feature Store","Real-time feature serving","2","UC-004;UC-006","1","PT-009","Experiences;Foundations","AI Solutions;Data & Knowledge;Personalization"
"AB-048","Feature Engineering Pipeline","Automated feature engineering","2","UC-003;UC-009","1","PT-009","Foundations","Data & Knowledge;Models"
"AB-049","Offline Feature Store","Batch feature storage and retrieval","1","UC-004","1","PT-009","Foundations","Data & Knowledge"
"AB-050","Large Language Model Service","Foundation LLM service for text generation","24","UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-021;UC-022;UC-023;UC-024","6","PT-005;PT-006;PT-013;PT-019;PT-020;PT-021","Generative AI","Content;LLMs"
"AB-051","Vector Database","Vector storage for embeddings and similarity search","18","UC-001;UC-002;UC-003;UC-004;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-015;UC-016;UC-017;UC-018;UC-021;UC-022;UC-024","6","PT-005;PT-006;PT-013;PT-019;PT-020;PT-021","Foundations;Generative AI","Data & Knowledge;LLM Orchestration"
"AB-052","Semantic Search Engine","Semantic search across knowledge bases","15","UC-001;UC-007;UC-008;UC-009;UC-010;UC-011;UC-012;UC-013;UC-015;UC-016;UC-017;UC-018;UC-021;UC-022;UC-024","5","PT-005;PT-006;PT-013;PT-019;PT-020","Generative AI","RAG"
"AB-053","Query Intent Analyzer","Analyzes and classifies query intent","1","UC-003","3","PT-005;PT-006;PT-013","Experiences","AI Solutions"
"AB-054","Hybrid Search Engine","Combines keyword and semantic search","1","UC-003","5","PT-005;PT-006;PT-013;PT-019;PT-020","Generative AI","RAG"
"AB-055","Reranking Engine","Reranks search results for relevance","0","","5","PT-005;PT-006;PT-013;PT-019;PT-020","Generative AI","RAG"
"AB-056","Self Critique Engine","LLM self-evaluation and refinement","0","","5","PT-005;PT-006;PT-013;PT-019;PT-020","Generative AI","Content;RAG"
"AB-057","Document Processing Pipeline","Processes documents for RAG ingestion","1","UC-005","5","PT-005;PT-006;PT-013;PT-019;PT-020","Foundations;Generative AI","Content;Data & Knowledge"
"AB-058","Citation Generator","Generates citations for LLM responses","1","UC-003","5","PT-005;PT-006;PT-013;PT-019;PT-020","Generative AI","RAG"
"AB-059","Query Rewriting Engine","Rewrites queries for better retrieval","1","UC-003","4","PT-005;PT-013;PT-019;PT-020","Generative AI","RAG"
"AB-060","AI Model Registry","Central registry for AI/ML models with metadata, versioning, and lifecycle management","0","","20","PT-001;PT-002;PT-003;PT-004;PT-005;PT-006;PT-007;PT-008;PT-009;PT-010;PT-011;PT-012;PT-013;PT-014;PT-015;PT-017;PT-018;PT-019;PT-020;PT-021","Enabling","Transformation & Governance"
"AB-061","Risk Assessment Engine","Automated risk evaluation for AI models and use cases","0","","2","PT-001;PT-002","Enabling","Transformation & Governance"
"AB-062","Approval Workflow Orchestrator","Manages approval workflows for model deployment and changes","0","","3","PT-001;PT-002;PT-010","Enabling","Transformation & Governance"
"AB-063","ML Model Explainability Engine","Generates explanations for ML model predictions","2","UC-004;UC-006","3","PT-001;PT-002;PT-004","Enabling","Transformation & Governance"
"AB-064","Compliance Dashboard","Dashboard for tracking AI governance and compliance metrics","0","","2","PT-001;PT-004","Enabling","Transformation & Governance"
"AB-065","Audit Trail and Logging","Comprehensive audit logging for AI system activities","17","UC-004;UC-007;UC-008;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-021;UC-022;UC-023","4","PT-001;PT-004;PT-018;PT-021","Agentic AI;Enabling","Agents;Transformation & Governance"
"AB-066","AI Gateway","Central gateway for AI service access and policy enforcement","0","","1","PT-001","Enabling","Transformation & Governance"
"AB-067","Cost Attribution Engine","Tracks and attributes AI infrastructure costs to use cases","0","","1","PT-001","Enabling","Transformation & Governance"
"AB-068","Explainability Service","Service for providing model explanations to stakeholders","0","","1","PT-001","Enabling","Transformation & Governance"
"AB-069","Bias Detection Framework","Detects and reports bias in ML models","1","UC-004","1","PT-001","Enabling","Transformation & Governance"
"AB-070","Data Lineage Tracker","Tracks data provenance and lineage for AI models","3","UC-002;UC-009;UC-012","2","PT-001;PT-012","Enabling","Transformation & Governance"
"AB-071","Model Performance Benchmarking","Benchmarks model performance against baselines","0","","1","PT-001","Enabling","Transformation & Governance"
"AB-072","Inference Engine","Core inference execution engine","18","UC-001;UC-002;UC-003;UC-004;UC-005;UC-006;UC-008;UC-011;UC-013;UC-014;UC-015;UC-017;UC-018;UC-019;UC-021;UC-022;UC-023;UC-024","0","","Experiences;Foundations","AI Solutions;Models;Personalization"
"AB-073","Inference Model Registry","Registry for inference-optimized models","0","","1","PT-004","Foundations","Model Serving"
"AB-074","Event Broker","Central event broker for async communication","5","UC-006;UC-008;UC-011;UC-016;UC-019","7","PT-001;PT-011;PT-015;PT-016;PT-017;PT-018;PT-021","Foundations","Data & Knowledge;Integration"
"AB-075","Stream Processing Engine","Processes streaming data in real-time","10","UC-006;UC-008;UC-011;UC-012;UC-013;UC-015;UC-016;UC-020;UC-023;UC-024","1","PT-015","Foundations","Data & Knowledge;Integration"
"AB-076","Event Producer Adapter","Adapters for producing events from various sources","2","UC-004;UC-024","1","PT-015","Foundations","Data & Knowledge"
"AB-077","Event Consumer Framework","Framework for consuming and processing events","1","UC-024","1","PT-015","Foundations","Integration"
"AB-078","Dead Letter Queue","Handles failed message processing","0","","1","PT-015","Foundations","Integration"
"AB-079","Event Replay Service","Replays events for recovery and testing","0","","1","PT-015","Foundations","Integration"
"AB-080","Knowledge Base","Structured knowledge storage for AI","1","UC-007","4","PT-007;PT-019;PT-020;PT-021","Experiences;Foundations","AI Solutions;Data & Knowledge"
"AB-081","Load Balancer","Distributes load across model replicas","0","","1","PT-009","Foundations","Models"
"AB-082","Model Serving Infrastructure","Infrastructure for serving models","0","","1","PT-009","Foundations","Models"
"AB-083","Model Fallback Logic","Fallback strategies for model failures","2","UC-004;UC-006","1","PT-009","Foundations","Models"
"AB-084","Model Quantization Service","Optimizes models through quantization","1","UC-004","1","PT-009","Foundations","Models"
"AB-085","ML Training Pipeline","Orchestrates model training workflows","0","","3","PT-002;PT-010;PT-011","Enabling;Foundations","Engineering & Practices;Models"
"AB-086","Model Registry","Central registry for trained models","0","","2","PT-002;PT-011","Enabling","Transformation & Governance"
"AB-087","Model Testing Framework","Comprehensive model testing and validation","4","UC-014;UC-018;UC-019;UC-021","2","PT-002;PT-010","Foundations","Models"
"AB-088","Model Deployment Orchestrator","Automates model deployment workflows","6","UC-006;UC-014;UC-018;UC-019;UC-020;UC-021","3","PT-002;PT-010;PT-015","Enabling","Engineering & Practices;Transformation & Governance"
"AB-089","Model Monitoring Platform","Production model performance monitoring","1","UC-014","2","PT-002;PT-010","Foundations","Models"
"AB-090","Model Fallback Logic","Handles model failures with fallback strategies","1","UC-014","2","PT-002;PT-010","Foundations","Models"
"AB-091","Rollback Controller","Manages model version rollbacks","1","UC-014","1","PT-010","Enabling;Foundations","Models;Transformation & Governance"
"AB-092","A B Test Configuration Service","Configures and manages A/B tests","0","","1","PT-010","Foundations","Model Lifecycle"
"AB-093","Feature Flag Service","Feature flag management for ML features","0","","1","PT-010","Enabling","Engineering & Practices"
"AB-094","Natural Language Generation","Generates natural language from structured data","3","UC-002;UC-004;UC-006","1","PT-004","Generative AI","Content"
"AB-095","NLP Extraction Engine","Extracts entities and relationships from text","11","UC-007;UC-010;UC-011;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-021;UC-023","1","PT-011","Generative AI","Content"
"AB-096","Observability Platform","Centralized platform for metrics, logs, and traces","16","UC-007;UC-008;UC-010;UC-011;UC-012;UC-013;UC-014;UC-015;UC-016;UC-017;UC-018;UC-019;UC-020;UC-022;UC-023;UC-024","21","PT-001;PT-002;PT-003;PT-004;PT-005;PT-006;PT-007;PT-008;PT-009;PT-010;PT-011;PT-012;PT-013;PT-014;PT-015;PT-016;PT-017;PT-018;PT-019;PT-020;PT-021","Enabling","Technologies & Enablement"
"AB-097","Data Drift Detector","Detects drift in input data distributions","12","UC-002;UC-003;UC-004;UC-006;UC-008;UC-009;UC-011;UC-012;UC-013;UC-015;UC-016;UC-020","2","PT-010;PT-017","Enabling;Foundations","Models;Technologies & Enablement"
"AB-098","Prediction Drift Monitor","Monitors drift in model predictions","0","","1","PT-017","Enabling;Foundations","Models;Technologies & Enablement"
"AB-099","Concept Drift Detector","Detects changes in underlying data relationships","0","","1","PT-017","Enabling;Foundations","Models;Technologies & Enablement"
"AB-100","Cost Monitoring Dashboard","Real-time monitoring of AI infrastructure costs","0","","1","PT-017","Enabling","Technologies & Enablement;Transformation & Governance"
"AB-101","Latency Monitor","Tracks inference and pipeline latency metrics","0","","1","PT-017","Enabling","Technologies & Enablement"
"AB-102","Error Tracking System","Captures and categorizes errors across AI systems","0","","1","PT-017","Enabling","Technologies & Enablement"
"AB-103","Business Metrics Tracker","Links model performance to business outcomes","6","UC-006;UC-007;UC-013;UC-015;UC-023;UC-024","1","PT-017","Enabling","Technologies & Enablement"
"AB-104","Data Quality Monitor","Monitors data quality dimensions in real-time","3","UC-002;UC-009;UC-012","2","PT-012;PT-017","Foundations","Data & Knowledge"
"AB-105","GenAI Quality Monitor","Monitors quality of generative AI outputs","1","UC-006","3","PT-017;PT-019;PT-020","Enabling","Technologies & Enablement"
"AB-106","Automated Retraining Trigger","Triggers model retraining based on drift thresholds","0","","1","PT-017","Foundations","Models"
"AB-107","Stakeholder Dashboard","Executive dashboards for AI platform visibility","1","UC-003","1","PT-017","Enabling","Technologies & Enablement"
"AB-108","Model Router","Routes requests to appropriate models","2","UC-004;UC-006","0","","Generative AI","LLMs"
"AB-109","Cost Based Router","Routes based on cost optimization","0","","1","PT-006","Generative AI","LLMs"
"AB-110","Latency Based Router","Routes based on latency requirements","0","","1","PT-006","Generative AI","LLMs"
"AB-111","Capability Based Router","Routes based on model capabilities","0","","1","PT-006","Generative AI","LLMs"
"AB-112","Data Encryption Service","Encryption services for data at rest and in transit","0","","20","PT-001;PT-002;PT-003;PT-004;PT-005;PT-006;PT-007;PT-008;PT-009;PT-010;PT-011;PT-012;PT-013;PT-014;PT-015;PT-016;PT-017;PT-018;PT-019;PT-020","Foundations","Security"
"AB-113","Access Control and Identity Management","Identity and access management for AI platform","0","","1","PT-018","Foundations","Security"
"AB-114","PII Detection and Masking Service","Detects and masks personally identifiable information","0","","1","PT-018","Foundations","Security"
"AB-115","Model Security Framework","Security controls and vulnerability management for models","0","","1","PT-018","Foundations","Security"
"AB-116","Audit Logging and Monitoring","Security-focused audit logging and threat monitoring","0","","1","PT-018","Foundations","Security"
"AB-117","Privacy Compliance Engine","Ensures compliance with privacy regulations","0","","1","PT-018","Foundations","Security"
"AB-118","Secrets Management","Secure storage and management of credentials and secrets","0","","1","PT-018","Foundations","Security"
"AB-119","Differential Privacy Engine","Implements differential privacy for sensitive data","0","","1","PT-018","Foundations","Security"
"AB-120","Federated Learning Platform","Enables privacy-preserving distributed model training","0","","1","PT-018","Foundations","Security"
"AB-121","Homomorphic Encryption Service","Computation on encrypted data without decryption","0","","1","PT-018","Foundations","Security"
"AB-122","Secure Multi Party Computation","Enables secure computation across multiple parties","0","","1","PT-018","Foundations","Security"
"AB-123","Data Lineage and Provenance Tracker","Security-focused data lineage and provenance tracking","0","","1","PT-018","Enabling","Transformation & Governance"
"AB-124","Model Watermarking Service","Embeds watermarks in models for IP protection","0","","1","PT-018","Foundations","Security"
"AB-125","Adversarial Testing Framework","Tests models against adversarial attacks","0","","1","PT-018","Foundations","Security"
"AB-126","Stream Processing Platform","Platform for stream processing","0","","1","PT-009","Foundations","Integration"
"AB-127","Validation Engine","Validates data and model outputs","2","UC-002;UC-005","1","PT-011","Foundations","Model Testing"
"AB-128","Explanation Visualization Layer","Visualizes model explanations","1","UC-004","1","PT-004","Enabling","Transformation & Governance"
"AB-129","Human in the Loop Workflow","Manages human review workflows","0","","1","PT-011","Enabling","Transformation & Governance"
"AB-130","AI Agent","Platform-agnostic autonomous AI agent that executes tasks using LLM-based reasoning, tool invocation, and memory access. Deployable on AWS AgentCore, Azure AI Agent Service, Microsoft Copilot Studio, or self-hosted environments using frameworks like LangGraph, Strands, Semantic Kernel, or AutoGen","7","UC-001;UC-002;UC-007;UC-010;UC-016;UC-018;UC-019","3","PT-007;PT-008;PT-021","Agentic AI","Agents"
