Old_ID,New_ID,Category,Name
AB-097,AB-097,OBS,Data Drift Detector
AB-098,AB-098,OBS,Prediction Drift Monitor
AB-099,AB-099,OBS,Concept Drift Detector
AB-100,AB-100,OBS,Cost Monitoring Dashboard
AB-101,AB-101,OBS,Latency Monitor
AB-102,AB-102,OBS,Error Tracking System
AB-103,AB-103,OBS,Business Metrics Tracker
AB-104,AB-104,OBS,Data Quality Monitor
AB-105,AB-105,OBS,GenAI Quality Monitor
AB-106,AB-106,OBS,Automated Retraining Trigger
AB-107,AB-107,OBS,Stakeholder Dashboard
AB-108,AB-108,RTE,Model Router
AB-109,AB-109,RTE,Cost Based Router
AB-110,AB-110,RTE,Latency Based Router
AB-111,AB-111,RTE,Capability Based Router
AB-112,AB-112,SEC,Data Encryption Service
AB-113,AB-113,SEC,Access Control and Identity Management
AB-114,AB-114,SEC,PII Detection and Masking Service
AB-115,AB-115,SEC,Model Security Framework
AB-116,AB-116,SEC,Audit Logging and Monitoring
AB-117,AB-117,SEC,Privacy Compliance Engine
AB-118,AB-118,SEC,Secrets Management
AB-119,AB-119,SEC,Differential Privacy Engine
AB-120,AB-120,SEC,Federated Learning Platform
AB-121,AB-121,SEC,Homomorphic Encryption Service
AB-122,AB-122,SEC,Secure Multi Party Computation
AB-123,AB-123,SEC,Data Lineage and Provenance Tracker
AB-124,AB-124,SEC,Model Watermarking Service
AB-125,AB-125,SEC,Adversarial Testing Framework
AB-126,AB-126,STR,Stream Processing Platform
AB-127,AB-127,VAL,Validation Engine
AB-128,AB-128,VIS,Explanation Visualization Layer
AB-129,AB-129,WFL,Human in the Loop Workflow
