Element_ID,Element_Name,Element_Type,Stereotype,Parent_Category,Level,Hierarchy_Path,,
pi-002,Payment Initiation,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Payment Initiation,,
pi-003,Issued Device Administration,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Issued Device Administration,,
pi-004,Issued Device Tracking,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Issued Device Tracking,,
pi-005,Card Authorization,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Card Authorization,,
pi-006,Card Capture,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Card Capture,,
pi-007,ATM Network Operations,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > ATM Network Operations,,
pi-008,Point of Service,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Point of Service,,
pi-009,Card Transaction Switch,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Card Transaction Switch,,
pi-010,Card Network Participant Facility,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Card Network Participant Facility,,
pi-011,Card Collections,ServiceDomain,ServiceDomain,Payment Initiation,3,Operations > Payment Initiation > Card Collections,,
ops2-001,Operations,Container,Grouping,Root,1,Operations,,
os-001,Operational Services,Container,Grouping,Operations,2,Operations > Operational Services,,
os-002,Customer Billing,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Customer Billing,,
os-003,Disbursement,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Disbursement,,
os-004,Open Item Management,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Open Item Management,,
os-005,Delinquent Account Handling,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Delinquent Account Handling,,
os-006,Card Collections,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Card Collections,,
os-007,Term Deposit Framework Agreement,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Term Deposit Framework Agreement,,
os-008,Product Combination,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Product Combination,,
os-009,Reward Points Awards And Redemption,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Reward Points Awards And Redemption,,
os-010,Issued Device Administration,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Issued Device Administration,,
os-011,Issued Device Tracking,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Issued Device Tracking,,
os-012,Card Transaction Switch,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Card Transaction Switch,,
os-013,Internal Bank Account,ServiceDomain,ServiceDomain,Operational Services,3,Operations > Operational Services > Internal Bank Account,,
ea-001,External Agency,Container,Grouping,Operations,2,Operations > External Agency,,
ea-002,Interbank Relationship Management,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Interbank Relationship Management,,
ea-003,Correspondent Bank Relationship Management,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Correspondent Bank Relationship Management,,
ea-004,Syndicate Management,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Syndicate Management,,
ea-005,Product Service Agency,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Product Service Agency,,
ea-006,Service Provider Operations,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Service Provider Operations,,
ea-007,Product Broker Agreement,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Product Broker Agreement,,
ea-008,Sub Custodian Agreement,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Sub Custodian Agreement,,
ea-009,Commission Agreement,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Commission Agreement,,
ea-010,Contractor and Supplier Agreement,ServiceDomain,ServiceDomain,External Agency,3,Operations > External Agency > Contractor and Supplier Agreement,,
