Element_ID,Element_Name,Element_Type,Stereotype,Parent_Category,Level,Hierarchy_Path
mad-015,Prospect Campaign Design,ServiceDomain,ServiceDomain,Marketing And Development,3,Business Development > Marketing And Development > Prospect Campaign Design
mad-016,Promotional Events,ServiceDomain,ServiceDomain,Marketing And Development,3,Business Development > Marketing And Development > Promotional Events
mad-017,Customer Surveys,ServiceDomain,ServiceDomain,Marketing And Development,3,Business Development > Marketing And Development > Customer Surveys
cm-001,Channel Management,Container,Grouping,Business Development,2,Business Development > Channel Management
cm-002,Channel Portfolio,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Channel Portfolio
cm-003,Branch Location Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Branch Location Management
cm-004,Branch Portfolio,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Branch Portfolio
cm-005,ATM Network Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > ATM Network Management
cm-006,Contact Center Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Contact Center Management
cm-007,Branch Network Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Branch Network Management
cm-008,Servicing Activity Analysis,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Servicing Activity Analysis
cm-009,Advanced Voice Services Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Advanced Voice Services Management
cm-010,Financial Message Analysis,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Financial Message Analysis
cm-011,eBranch Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > eBranch Management
cm-012,Channel Activity Analysis,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Channel Activity Analysis
cm-013,Product Inventory Item Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Product Inventory Item Management
cm-014,Information Provider Administration,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Information Provider Administration
cm-015,Central Cash Handling,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Central Cash Handling
cm-016,Market Data Switch Administration,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Market Data Switch Administration
cm-017,Branch Currency Management,ServiceDomain,ServiceDomain,Channel Management,3,Business Development > Channel Management > Branch Currency Management
